,Dates,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,DD,Delhi,DNH,DVC,Essar steel,Goa,Gujarat,Haryana,HP,J&K,Jharkhand,Karnataka,Kerala,Maharashtra,Manipur,Meghalaya,Mizoram,MP,Nagaland,Odisha,Pondy,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,UP,Uttarakhand,West Bengal,Total Consumption
31,16-08-2013,222.7,1.3,22.1,40.4,5.1,61,5.5,83.8,14,56.8,8.3,7.7,192.1,121.8,22.7,24.9,18.9,141.5,55.2,301.4,1.4,4.3,1,116,1.5,70.9,4.6,130.2,117.2,1.9,228.4,135.5,2.6,229.2,33.1,128.6,2613.5999999999995
32,17-08-2013,221.5,1.3,25.3,41.5,4.8,60.2,5.5,81.6,15,56.6,8.3,7.8,200.3,121.7,23,27.5,18.9,139.8,55.4,317.2,1.3,4.6,1,114,1.3,68,5,122.7,117.7,0.9,225.3,136.8,3,225.2,34,128.3,2622.3000000000006
33,18-08-2013,220.6,1.6,23.5,41.7,4.5,55.1,6.3,79.9,15.4,55.5,8.4,6.4,197.7,121.8,22.4,26.7,18.5,137.2,51.3,305.5,1.3,3.8,1,107.7,1.7,67.6,6.4,127.7,120.3,0.9,219.7,136.9,2.5,226.9,33,121.2,2578.6
34,19-08-2013,230.4,1.2,23.7,42.2,5,58.7,6.3,86.3,15,58.3,8.4,7.9,203.6,123.5,23.3,27.5,18.6,139.8,54.1,318.1,1.4,4.3,1,106.7,1.4,68.1,5.8,135.4,129,1,223.3,140,2.9,227,33.5,120.6,2653.3
35,20-08-2013,237.9,1.4,24.4,42,5.1,54.2,5.2,80.6,14.6,56.4,8.4,7.4,178.1,121.4,23,28.2,17.3,148.6,55.5,313.7,1.8,4.1,1,104.2,1.6,65.5,6.1,150.9,117.4,0.9,243.5,134.4,3.3,225.6,31.8,106.4,2621.9
36,21-08-2013,244.6,1.2,24.9,31.9,5.4,55.3,5.8,86.1,15,52.1,5.8,7.8,199.3,121.7,22.8,28.6,16.7,153.4,55.7,318.5,1.2,4.4,1,100,1.3,66.8,6.2,160.5,123.5,1,246.5,128,2.8,224.2,30.1,101.6,2651.7
37,22-08-2013,246.4,1.1,22.9,36.5,5.4,55.9,6.4,88.3,14.7,53.5,6.1,7.6,216.3,124.2,23.2,29.3,17.5,155.4,56.8,320.2,1.1,4.2,1.1,97.4,1.2,69.2,6.3,166.8,129.6,1,250.7,132.6,3.3,225.6,32,117,2726.7999999999997
38,23-08-2013,263.2,1.3,23.4,41,5.4,58.6,5.7,95.3,15.1,58.5,5.2,7.8,222.8,140.4,23.9,29.5,18.8,155.1,57.3,311.8,1.4,4.5,1,108.7,1.4,67.2,6.3,178.7,143.6,1.1,253.6,138.4,3.4,227.1,34.8,124.5,2835.8
39,24-08-2013,221.5,1.3,19.6,41.5,4.8,60.2,5.5,81.6,15,56.6,8.3,7.8,200.3,121.7,23,27.5,18.9,139.8,55.4,317.2,1.3,4.6,1,114,1.3,68,5,122.7,117.7,0.9,225.3,136.9,4.3,225.2,34,128.3,2618.0000000000005
40,27-08-2013,264.2,1.1,21.7,38.3,5.9,62.3,6.2,104.4,15.2,58.7,5.1,8.2,230,153.4,24,27.9,18.9,164.6,57.8,324.1,1.6,3.9,1,112.6,1.6,67.9,5.7,198,161.6,0.9,245.3,140.5,3.4,236.4,32.8,129.3,2934.500000000001
41,28-08-2013,265.3,1.2,22.3,38.3,5,47.5,6.3,91.5,15.2,57.9,7.2,8,216.2,153.3,22.5,28.3,19.1,166.2,59,330.9,1.2,4.3,1,115.4,1.3,66.7,6.7,196,162.4,1.1,243,136.8,3.7,237.8,31.1,123.5,2893.2
42,29-08-2013,264.1,1.2,22.7,39.2,5.4,55.9,6.3,98.2,15.2,56,7.2,7.9,220.5,156.7,24.1,29.1,18.5,169.2,58.5,335.5,1.2,4.5,1,114.1,1.4,67.9,6.2,196.5,157.9,1.1,227.5,127.9,3.5,227.9,31.9,124.2,2886.1000000000004
43,31-08-2013,261,1.4,22,39.8,5.1,61.2,6.3,91.8,15.2,56.2,7.7,7.9,247.9,161.5,24.2,30,20.1,166.1,58,340.2,1.4,4.7,1,117,1.5,68.3,6.6,190.7,165.9,1.2,226.3,116.5,3.6,212.9,31.1,131.1,2903.3999999999996
44,01-09-2013,253.2,1.3,22,36.4,4.7,61.8,6,88.7,15.2,55.6,7.6,7.8,246.8,159.7,22.7,28.8,20,150,53.1,335.5,1.5,4.4,1,113.5,1.3,63.9,6.2,190.7,169.3,1,227.6,118.8,3.4,205.1,28.1,120.6,2833.3
45,02-09-2013,255.4,1.2,23.8,38,5.6,64.7,6.1,97.7,15.3,56.7,7.7,8.9,258.9,163.4,24.2,29.1,19,150.5,57.5,352,1.5,4,1,118.6,1.7,67.3,6.4,192.7,174.1,1.1,231.1,123,3.4,217.1,32.6,121.3,2932.6
46,03-09-2013,254.8,1.3,24.4,37.8,5.7,64.5,6.3,97.3,15.4,56.1,7.8,8.5,264.7,164.3,25.3,28.2,19,144.2,57.5,358.9,1.5,4.5,1.1,125.8,1.4,66.6,6.6,191.8,175.7,1.1,241.9,127,3.6,219.5,32.5,126.7,2969.2999999999993
47,04-09-2013,255.5,1.2,24.2,38.3,5.7,64.4,6.3,97.1,15.4,55.8,7.9,7.8,267.4,164.3,25.7,29.6,19.7,145.8,56.6,361.9,1.7,4.1,1.1,129.5,1.7,69.7,6.5,191.8,176.2,1.2,240.7,139.3,3.6,221.2,31.5,127.1,2997.499999999998
48,05-09-2013,260.5,1.2,23.6,40.5,5.6,62.5,6.5,98.1,15.4,55.3,6.6,8.2,267.1,161.4,25.4,28.1,20.3,148.9,57,361.2,1.8,4.3,1.1,131.2,1.8,72.6,6.3,190.6,175.2,1.2,254.9,145.9,3.1,227.6,32.5,136.8,3040.2999999999997
49,06-09-2013,262.9,1.3,23.3,42.9,5.1,67.8,5.7,98,15.3,58.8,6.6,8.3,269.6,162.6,24.7,28.5,20.2,151,56.4,353.5,1.4,4.7,1.1,133.3,1.4,71.1,5.8,185.7,172.1,1.1,248.6,149.6,2.8,233.9,32.5,131,3038.6
50,07-09-2013,257.1,1.2,23.4,41.9,5.1,67.6,6.3,94.6,15.4,57.6,5.5,7.4,266.1,156.8,24.9,28.7,19.7,146,54,362,1.4,4.9,1.1,136.6,1.4,73.5,5.6,184.1,164.1,1.4,233.5,141.5,2.9,243.8,30.4,125.6,2993.1000000000004
51,08-09-2013,240,1.2,23,42.3,4.3,62.8,6.3,89.8,15.4,55.2,6.2,6.4,261.9,149.9,22.9,26.4,19,130,50.3,354.8,1.4,4.5,1,141.9,1.8,70.7,5.3,209,171.8,1.2,220.3,125,3.2,226.2,27.6,124.4,2903.3999999999996
52,09-09-2013,231.6,1.1,23.8,43,4.8,65.6,5.4,94.8,14.9,56.8,6.6,5.8,268.6,151.2,24.6,27.4,18.2,119.1,54.5,332.1,1.4,4.6,1,149.7,1.4,71.3,5.4,183.7,181.9,1.2,217.8,134.1,3.1,231,30.2,124.4,2892.1
53,10-09-2013,242.3,1.4,24.2,45.1,4.9,67.8,5.9,96.8,15,57.3,6.3,6,277.3,154.4,25,28.9,19.5,124.2,56.2,344.9,1.4,4.3,1,149.8,1.6,71.8,5.7,186.1,192.8,1.2,230.2,142.1,3.3,226.1,31,123.1,2974.8999999999996
54,11-09-2013,240.6,1.2,24.8,45.2,5.3,69.2,6.3,98.9,13.8,58,4.2,6,272.1,152.3,24.4,28.3,18.9,126.1,56.4,346.1,1.4,4.3,1.1,156.8,1.7,72.8,5.9,190.8,192.7,1,228.6,146.4,2.8,232.4,31,123.3,2991.100000000001
55,12-09-2013,245,1.3,24.8,43.1,5.3,70.5,6.3,101.4,13.3,56.8,6.1,6.3,259.1,158.8,24.7,27.5,18.4,126.1,56.6,348.7,1.4,4.7,1,158.4,1.6,74.3,5.5,190.8,191.4,1.2,228.6,146.6,2.8,238.1,30.8,133.9,3011.2000000000003
56,13-09-2013,244.6,1.1,24.2,31,5.3,70.7,6.2,102.9,15.2,58.1,7,7.3,260.9,156.6,25.3,28.5,19.5,124.7,56.3,343,1.4,5,0.9,159.6,1.7,74.2,6.2,181.6,192.6,1.1,231,145.3,2.8,239.3,30.1,128.7,2989.9
57,14-09-2013,249.9,1,23.6,39.2,5.2,72.2,6.1,98.5,15.5,55.7,6.6,7.3,256.7,159.3,25.5,30.7,17.3,122.7,55.7,337.6,1.4,4.2,1,157.3,1.4,73.9,6.3,179.8,194.5,1.1,234.5,143.8,3.2,243.2,30.1,136,2998
58,15-09-2013,246.5,1.1,23.6,42.8,3.8,69.7,6.4,94.4,15.4,56.2,6.1,6.8,255.7,151.8,21.6,28.9,18.8,113.4,51,324.1,1.3,4.1,0.8,152.8,1.5,70.3,5.8,153.4,192.3,0.8,222.8,141.4,3.3,235.9,30.4,110.6,2865.6000000000004
59,16-09-2013,243.5,1.4,24.7,41.1,4.2,66.5,6.3,96.8,14.5,56.8,6.1,7.7,268.4,150.1,17.4,29.2,19.7,124.6,48.4,322.6,1.3,4.9,0.9,147.3,1.7,72.6,6.1,112.1,170.8,1.1,237.5,140.1,3.3,237.4,30.8,127.2,2845.1
60,17-09-2013,237.5,1.4,25.4,41.5,4.6,66.9,6,93.9,14.7,52.9,7,7,269.2,151.8,21.3,29.6,19.2,126.8,47.8,321.6,1.3,4.9,0.9,145.6,1.7,70.5,6.2,155.3,175.3,1,240.5,137.8,3.4,242.2,30.9,118.1,2881.7000000000003
61,18-09-2013,234.9,1.4,24.1,39.8,4.8,64.3,6.2,94.7,15.2,53.3,6.4,7.3,256.3,160.5,22.5,29.3,17.9,127.3,51.3,303.9,1.3,4.1,1,150.1,1.6,72.1,6.3,168.9,181.7,1.3,243.4,141.1,3.3,245.9,30.8,123.6,2897.9
62,19-09-2013,239.5,1.5,23.5,37.9,5.1,66,6.3,96.8,15.4,55.3,5.8,7.9,277.2,158.2,24.5,30.8,17.7,125,54.5,303.8,1.3,3.2,1,149.5,1.6,70.2,6.4,170.8,188.1,1.3,248,140.7,3.1,242.4,31.4,122.6,2934.2999999999997
63,20-09-2013,236,1.2,23.6,38.9,5.1,60.9,6.1,95.5,15.3,56.2,5.9,7.2,285.8,161.2,24.3,32,18.8,127,55.6,303,1.3,3.3,1,136.2,1.5,69.8,6.2,168.7,181.4,1.3,253.1,137.7,2.9,234.9,31.4,129.7,2920
64,21-09-2013,228.8,1.4,22.1,41.5,4.4,61.8,6.6,83.7,14.2,56.5,5.1,8,280.4,119.1,23.8,31.2,20.2,123,55.7,299.7,1.5,3.3,1.1,119.2,1.6,70.6,6.4,176.8,167.2,1.2,247,134.3,3.5,229.1,32.6,130.9,2813.5000000000005
65,22-09-2013,231.3,1.3,18.2,41.3,3.8,61.4,5.4,78.8,14.7,57.4,4.7,7.7,241.6,105,22.7,31.3,19.7,116.5,52.4,291,1.3,4.4,1,119.7,1.4,71.8,6.3,176.1,152.9,1.1,244.6,140.8,3.2,232.5,30.8,125.7,2719.8
66,23-09-2013,246.5,1.3,18.3,40.3,4.8,62.5,5.9,92.2,14.5,57.9,4.6,6.9,215.3,107,23.9,31.9,20.2,132.7,56.9,304.3,1.4,4.5,0.8,123.2,1.6,74.8,6.3,170.3,152.1,0.9,257.6,143.3,3.4,242.5,32.4,138.3,2801.3000000000006
67,24-09-2013,260.7,1.4,20.7,42.4,4.8,65.3,5.8,96.4,13.5,57.9,4.6,7.4,200.7,115.7,24,31.4,20.2,139.7,57.9,317.5,1.9,4.1,1,124.9,1.6,76.1,6.2,163.5,151.6,1.1,263.4,136.4,3,247.7,33.8,143.9,2848.2
68,25-09-2013,264.8,1.1,21.5,41.4,4.9,67.2,6,94,14.5,57.2,3.9,7.7,173.1,113.2,24,31.6,19.5,147.8,58.5,319.4,1.4,4,1,129.1,1.3,74.5,6.4,160,147.2,1,261.7,142.3,2.7,244,32.8,136.9,2817.6000000000004
69,29-09-2013,255.6,1.3,20.3,40.5,4.4,62.8,5.9,84.1,14.8,55.7,4.7,7,187.8,120.7,22.2,30.3,15.7,149.4,54.3,317,1.5,4.7,1.3,132.8,1.6,65,5.8,161.7,121,0.7,255.5,138.2,3,235.5,30.1,112.6,2725.5
70,30-09-2013,264.5,1.3,23.1,41.4,4.9,62.8,5.9,84.5,14.8,54.6,5.1,7.5,201.2,126.3,23.5,29.5,18,157.9,56.4,331.8,1.5,4.6,1,135.3,1.4,69.8,6.3,160.5,122.9,0.8,264.8,138.1,3.4,235.3,29.8,111.3,2801.8000000000006
71,01-10-2013,266.3,1.3,24.7,41.5,4.9,60.4,5.7,86.3,14.3,54.1,6.5,7.4,201.4,121.6,23.6,29.4,18.8,158.4,57.1,336.6,1.5,4.1,1.1,133.3,1.4,68,6.5,157.5,132.3,1.1,270,140.1,3.3,227.8,31.8,117.3,2817.4
72,02-10-2013,251.4,1.3,24.8,42.7,4.3,57,5.3,73.1,14.1,52.5,6,6.8,199.6,120,20.8,30.6,17.1,147.8,55.1,333.6,1.5,4.4,1,125.5,1.5,69.3,5.8,155.5,134.9,1.3,252.1,137.1,3.3,224.8,28.7,119.7,2730.3
73,03-10-2013,237.7,1.3,23,45.7,4.5,57.9,4.8,83.8,14.3,56.4,6,7.9,209.9,124.9,22.9,29.7,19.3,155.5,57.3,334.9,1.3,4.2,1,119.5,1.3,70.5,5.9,157.7,137.5,1.2,258.3,139.6,3.4,217.6,31.4,118.7,2766.7999999999997
74,04-10-2013,234.4,1.4,22.4,44.8,4.5,60,6,77.7,15,57.4,6,7.8,210.4,123.6,23.5,29,19.6,160.3,57.6,325,1.3,4.6,1.1,116.8,1.3,71.9,5.8,153.4,132.7,1.2,262.2,134.6,3.3,202,31,119,2728.6
75,05-10-2013,230,1.3,23.1,37.6,4.4,59,6,76.9,14.3,56.9,6,8.1,214.2,125.9,23.4,30,18.9,158.1,57.2,334,1.5,4.5,1.1,121.3,1.3,70.5,5.4,151.6,138,1.4,262.6,137.9,3.3,191.6,31.8,126.4,2735.5000000000005
76,06-10-2013,215.4,1.2,24.2,41.1,3.9,61.4,6.1,76.9,14.6,55,6,7.1,214.6,123,22.8,29.6,18.9,148.5,52.9,330.1,1.5,4.6,1.1,121.9,1.3,71.3,5.7,147,142.9,1.4,255.3,147.4,3.3,199.8,31.3,117.2,2706.3000000000006
77,07-10-2013,208.8,1.3,24.9,44.1,4.7,59.1,6.1,85.9,14.8,55.4,5.4,7.8,220.7,125.9,24.1,29.3,19.8,160.4,57.3,348.7,1.4,4.5,1,126.3,1.2,70.4,6.2,145.5,151.3,1.3,264.9,144.9,3.1,206.1,34,108.9,2775.5
78,08-10-2013,211.8,1.4,24.7,44.5,4.9,57.3,6.1,89.2,15,54.2,5.8,8.4,212.3,131.4,25,30.5,19,158.6,58.9,352.5,1.4,4.6,1,125.7,1.2,67.9,5.9,147,152.7,1.2,254.4,141.3,3.1,218.4,34.3,113.2,2784.8000000000006
79,09-10-2013,202.2,1.2,25.3,42.3,4.7,59.9,6.1,90.3,14.9,55.9,6.5,8.5,201.9,136.5,24.4,32.4,19.3,157.6,56.8,349.7,1.4,4.5,1.1,124.9,1.4,68.9,5.9,146.9,154.3,1.5,246.2,141.7,3.2,218.6,30.9,120.9,2768.7
80,10-10-2013,225.5,1.4,25.1,44,4.7,59.3,6.2,91,15,55.2,6.5,8.1,202.8,129.7,24.1,32.7,19.8,159.8,58,345,1.4,4,1,126,1.4,68.8,6.2,143,157.3,1.3,245,147.1,3.2,234.3,32.4,126.3,2812.6000000000004
81,11-10-2013,230.4,1.4,24.6,45,4.2,60.3,6.2,76.2,15,57.6,4.7,8.1,207.2,101.3,23.8,31,20.7,164.8,58.4,338.3,1.4,3.9,1,123,1.4,66.8,6.1,127.9,144.9,1.3,251.6,144.6,2.9,217.1,28.5,121.9,2723.5000000000005
82,15-10-2013,231.7,1.1,24.1,20.9,4.2,56.1,6.2,81.5,15,47.7,6,8.6,220.3,106.5,22.4,31.7,15.3,157.9,60.5,343.9,1.2,4.2,1,119,1.2,49.5,6.1,107.4,143.5,1.1,251.4,136.5,3.1,190.5,29.1,103.5,2609.8999999999996
83,16-10-2013,236.2,1.4,23.6,31.3,4,58.8,6.3,75.8,14.7,49.8,6.4,8.4,222.8,115.3,24.3,35.1,18.6,155.4,57.6,344.4,1.4,4.3,1.1,126.1,1.5,55.4,6.1,112.1,151.1,1.1,248.9,144.5,3,211.6,27.4,114.6,2700.399999999999
84,17-10-2013,238,1.2,23.5,37.8,4,59.4,6.3,78.5,14.9,54,7.2,8.4,228.4,108,24.1,34,19.9,155.2,56.5,344.7,1.3,4.1,1.1,129.1,1.4,59.1,6.2,113.6,148.3,1.3,246.8,144.9,3.5,208.4,31.9,116,2721
85,18-10-2013,248.1,1.3,23.2,38.6,3.8,59.7,5.1,79.6,15.3,56.1,5.9,8.2,231.9,114.9,24.7,35.9,19.8,157.5,56.9,338.8,1.4,4.4,1.1,130.8,1.4,63.1,6.4,113,150.9,1.5,245.5,143.4,3.4,216.1,31.3,119.4,2758.4000000000005
86,19-10-2013,253.4,1.4,21.5,38.6,3.7,58.8,6,73.4,15.2,55.9,5.2,8.5,234.4,111.7,23.7,31.4,19.8,156.2,56.1,347.5,1.4,4.3,1.1,133.9,1.4,65.8,6.4,110.2,150.5,1.5,232.4,138.1,3.3,213.8,29.6,120.6,2736.7000000000003
87,20-10-2013,251.8,1.6,22.4,38.3,3.2,59.7,6.2,66.8,15,56,5.6,7.8,229.4,102.9,21.9,32.5,18.9,145.2,51.8,352.3,1.3,4.6,1.1,134.4,1.4,65.3,5.4,107.5,148,1.5,214.3,139.6,3.5,207.5,28.8,115.4,2668.9
88,21-10-2013,246.4,1.4,23.6,37.7,3.7,60.4,6.5,70.6,15.2,57.1,6.7,8.2,238.5,103.6,23.4,32.9,19.2,151.2,56.6,361,1.3,4.4,1.1,136.7,1.3,63.7,5.7,105.9,151.8,1.6,218.9,140.5,3.1,208.4,30.3,117.6,2716.2
